,sequence
0,39
1,39
2,39
3,39
4,39
5,39
6,39
7,39
8,165
9,64
10,242
11,242
12,242
13,242
14,242
15,242
16,242
17,242
18,242
19,242
20,242
21,242
22,242
23,242
24,242
25,242
26,242
27,242
28,242
29,242
30,242
31,242
32,242
33,242
34,242
35,242
36,242
37,242
38,242
39,242
40,242
41,242
42,242
43,242
44,242
45,242
46,242
47,242
48,242
49,242
50,242
51,242
52,242
53,242
54,242
55,242
56,242
57,242
58,242
59,242
60,242
61,242
62,242
63,242
64,242
65,242
66,242
67,242
68,242
69,242
70,242
71,242
72,242
73,242
74,242
75,242
76,242
77,242
78,242
79,242
80,242
81,242
82,242
83,242
84,242
85,242
86,242
87,242
88,242
89,242
90,242
91,242
92,242
93,242
94,242
95,242
96,242
97,242
98,242
99,242
