0,1,2,3,4,5,6,7,y
44,51,60,56,63,68,75,68,44
51,60,56,63,68,75,68,44,60
60,56,63,68,75,68,44,60,56
56,63,68,75,68,44,60,56,63
63,68,75,68,44,60,56,63,78
68,75,68,44,60,56,63,78,51
75,68,44,60,56,63,78,51,68
68,44,60,56,63,78,51,68,68
44,60,56,63,78,51,68,68,44
60,56,63,78,51,68,68,44,60
56,63,78,51,68,68,44,60,66
63,78,51,68,68,44,60,66,68
78,51,68,68,44,60,66,68,82
51,68,68,44,60,66,68,82,78
68,68,44,60,66,68,82,78,80
68,44,60,66,68,82,78,80,94
44,60,66,68,82,78,80,94,90
60,66,68,82,78,80,94,90,51
66,68,82,78,80,94,90,51,90
68,82,78,80,94,90,51,90,85
82,78,80,94,90,51,90,85,80
78,80,94,90,51,90,85,80,81
80,94,90,51,90,85,80,81,78
94,90,51,90,85,80,81,78,76
90,51,90,85,80,81,78,76,75
51,90,85,80,81,78,76,75,70
90,85,80,81,78,76,75,70,68
85,80,81,78,76,75,70,68,66
80,81,78,76,75,70,68,66,85
81,78,76,75,70,68,66,85,62
78,76,75,70,68,66,85,62,59
76,75,70,68,66,85,62,59,58
75,70,68,66,85,62,59,58,54
70,68,66,85,62,59,58,54,54
68,66,85,62,59,58,54,54,49
66,85,62,59,58,54,54,49,49
85,62,59,58,54,54,49,49,46
62,59,58,54,54,49,49,46,44
59,58,54,54,49,49,46,44,48
58,54,54,49,49,46,44,48,51
54,54,49,49,46,44,48,51,43
54,49,49,46,44,48,51,43,54
49,49,46,44,48,51,43,54,58
49,46,44,48,51,43,54,58,55
46,44,48,51,43,54,58,55,58
44,48,51,43,54,58,55,58,56
48,51,43,54,58,55,58,56,56
51,43,54,58,55,58,56,56,53
43,54,58,55,58,56,56,53,68
54,58,55,58,56,56,53,68,73
58,55,58,56,56,53,68,73,49
55,58,56,56,53,68,73,49,56
58,56,56,53,68,73,49,56,68
56,56,53,68,73,49,56,68,37
56,53,68,73,49,56,68,37,73
53,68,73,49,56,68,37,73,80
68,73,49,56,68,37,73,80,77
73,49,56,68,37,73,80,77,56
49,56,68,37,73,80,77,56,53
56,68,37,73,80,77,56,53,68
68,37,73,80,77,56,53,68,85
37,73,80,77,56,53,68,85,56
73,80,77,56,53,68,85,56,44
80,77,56,53,68,85,56,44,60
77,56,53,68,85,56,44,60,54
56,53,68,85,56,44,60,54,68
53,68,85,56,44,60,54,68,75
68,85,56,44,60,54,68,75,61
85,56,44,60,54,68,75,61,58
56,44,60,54,68,75,61,58,66
44,60,54,68,75,61,58,66,63
60,54,68,75,61,58,66,63,51
54,68,75,61,58,66,63,51,32
68,75,61,58,66,63,51,32,68
75,61,58,66,63,51,32,68,72
61,58,66,63,51,32,68,72,80
58,66,63,51,32,68,72,80,44
66,63,51,32,68,72,80,44,51
63,51,32,68,72,80,44,51,37
51,32,68,72,80,44,51,37,56
32,68,72,80,44,51,37,56,78
68,72,80,44,51,37,56,78,65
72,80,44,51,37,56,78,65,61
80,44,51,37,56,78,65,61,67
44,51,37,56,78,65,61,67,73
51,37,56,78,65,61,67,73,56
37,56,78,65,61,67,73,56,68
56,78,65,61,67,73,56,68,61
78,65,61,67,73,56,68,61,68
65,61,67,73,56,68,61,68,73
61,67,73,56,68,61,68,73,65
67,73,56,68,61,68,73,65,80
73,56,68,61,68,73,65,80,77
56,68,61,68,73,65,80,77,85
68,61,68,73,65,80,77,85,53
61,68,73,65,80,77,85,53,80
68,73,65,80,77,85,53,80,39
73,65,80,77,85,53,80,39,68
65,80,77,85,53,80,39,68,58
80,77,85,53,80,39,68,58,77
77,85,53,80,39,68,58,77,72
85,53,80,39,68,58,77,72,68
53,80,39,68,58,77,72,68,61
80,39,68,58,77,72,68,61,55
39,68,58,77,72,68,61,55,32
68,58,77,72,68,61,55,32,68
58,77,72,68,61,55,32,68,72
77,72,68,61,55,32,68,72,80
72,68,61,55,32,68,72,80,44
68,61,55,32,68,72,80,44,75
61,55,32,68,72,80,44,75,75
55,32,68,72,80,44,75,75,51
32,68,72,80,44,75,75,51,58
68,72,80,44,75,75,51,58,60
72,80,44,75,75,51,58,60,66
80,44,75,75,51,58,60,66,68
44,75,75,51,58,60,66,68,44
75,75,51,58,60,66,68,44,56
75,51,58,60,66,68,44,56,67
51,58,60,66,68,44,56,67,70
58,60,66,68,44,56,67,70,60
60,66,68,44,56,67,70,60,44
